,Unnamed: 0,DISTRICT_NUMBER,DISTRICT,CAMPUS_NUMBER,CAMPUS,REGION,COUNTY,SCHOOL_TYPE,GRADES_SERVED,CHARTER,URBANICITY,NUMBER_OF_STUDENTS,OVERALL_RATING,OVERALL_SCORE,%_ECONOMICALLY_DISADVANTAGED,%_EB/EL_STUDENTS,FREE_LUNCH_QUALIFIED_COUNT,REDUCED-PRICE_LUNCH_QUALIFIED_COUNT,RACE_AMERICAN_INDIAN_OR_ALASKA_NATIVE,RACE_ASIAN,RACE_BLACK_OR_AFRICAN_AMERICAN,RACE_HISPANIC/LATINO,RACE_NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER,RACE_TWO_OR_MORE_RACES,RACE_WHITE,TEACHERS_COUNT,LAT,LONG,MEDIAN_HOUSEHOLD_INCOME_AREA,ST_SCHID,AVG_TEACHER_SALARY
0,0,1902,CAYUGA ISD,1902001.0,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,171,A,97,0.444,0.018,64.0,12.0,0.0,2.0,12.0,36.0,0.0,16.0,276.0,19.34,31.9569,-95.9744,72483.0,TX-001902-001902001,55570.0
1,1,1902,CAYUGA ISD,1902041.0,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,Rural,166,B,85,0.47,0.006,63.0,15.0,0.0,2.0,16.0,32.0,0.0,18.0,264.0,11.2,31.9569,-95.9744,72483.0,TX-001902-001902041,55570.0
2,2,1902,CAYUGA ISD,1902103.0,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,Rural,256,C,75,0.551,0.016,120.0,21.0,0.0,2.0,28.0,44.0,0.0,20.0,420.0,17.86,31.9569,-95.9744,72483.0,TX-001902-001902103,55570.0
3,3,1903,ELKHART ISD,1903001.0,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,315,A,92,0.47,0.013,120.0,28.0,0.0,6.0,24.0,76.0,2.0,20.0,502.0,35.72,31.6275,-95.5785,76397.0,TX-001903-001903001,47916.0
4,4,1903,ELKHART ISD,1903041.0,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,Rural,270,B,83,0.57,0.019,133.0,21.0,2.0,0.0,18.0,62.0,0.0,16.0,442.0,23.82,31.6279,-95.578,76397.0,TX-001903-001903041,47916.0
5,5,1903,ELKHART ISD,1903101.0,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,Rural,327,C,77,0.685,0.04,201.0,23.0,2.0,4.0,28.0,66.0,0.0,50.0,504.0,23.59,31.6271,-95.5786,76397.0,TX-001903-001903101,47916.0
6,6,1903,ELKHART ISD,1903102.0,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,,282,C,77,0.631,0.046,153.0,25.0,2.0,2.0,26.0,66.0,0.0,22.0,446.0,21.36,,,,TX-001903-001903102,47916.0
7,7,1904,FRANKSTON ISD,1904001.0,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,245,A,94,0.498,0.053,103.0,19.0,6.0,2.0,50.0,64.0,0.0,24.0,344.0,25.79,32.061,-95.50702,69663.0,TX-001904-001904001,50382.0
8,8,1904,FRANKSTON ISD,1904041.0,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,Rural,184,B,81,0.625,0.038,108.0,7.0,2.0,6.0,22.0,30.0,0.0,20.0,288.0,16.44,32.061,-95.50702,69663.0,TX-001904-001904041,50382.0
9,9,1904,FRANKSTON ISD,1904102.0,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,Rural,372,B,86,0.629,0.04,221.0,14.0,2.0,6.0,56.0,88.0,0.0,22.0,572.0,25.79,32.061,-95.50702,69663.0,TX-001904-001904102,50382.0
10,10,1906,NECHES ISD,1906002.0,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,07 - 12,No,Rural,140,A,96,0.471,0.043,64.0,2.0,0.0,0.0,20.0,36.0,0.0,6.0,218.0,13.68,31.8666,-95.4955,67875.0,TX-001906-001906002,55347.0
11,11,1906,NECHES ISD,1906102.0,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 06,No,Rural,169,C,70,0.639,0.006,93.0,15.0,2.0,2.0,26.0,42.0,0.0,8.0,260.0,14.4,31.8666,-95.4955,67875.0,TX-001906-001906102,55347.0
12,12,1907,PALESTINE ISD,1907001.0,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,,997,B,88,0.767,0.152,725.0,41.0,2.0,12.0,422.0,900.0,0.0,72.0,588.0,84.4,,,,TX-001907-001907001,48825.0
13,13,1907,PALESTINE ISD,1907041.0,PALESTINE J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,,493,C,76,0.783,0.213,369.0,17.0,2.0,4.0,244.0,420.0,2.0,34.0,280.0,46.52,,,,TX-001907-001907041,48825.0
14,14,1907,PALESTINE ISD,1907101.0,NORTHSIDE PRI,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,,465,D,61,0.804,0.146,350.0,24.0,2.0,10.0,218.0,366.0,2.0,50.0,282.0,29.5,,,,TX-001907-001907101,48825.0
15,15,1907,PALESTINE ISD,1907102.0,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,ANDERSON,Elementary,PK - PK,No,,221,D,61,0.919,0.109,191.0,12.0,0.0,2.0,128.0,194.0,0.0,30.0,88.0,15.0,,,,TX-001907-001907102,48825.0
16,16,1907,PALESTINE ISD,1907107.0,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,Suburban,447,D,61,0.848,0.174,361.0,18.0,2.0,8.0,236.0,410.0,0.0,30.0,208.0,33.0,29.15135,-95.42229,,TX-001907-001907107,48825.0
17,17,1907,PALESTINE ISD,1907107.0,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,Rural,447,D,61,0.848,0.174,361.0,18.0,2.0,8.0,236.0,410.0,0.0,30.0,208.0,33.0,32.36643,-96.1004,,TX-001907-001907107,48825.0
18,18,1907,PALESTINE ISD,1907110.0,STORY INT,REGION 07: KILGORE,ANDERSON,Elementary,04 - 06,No,,673,D,61,0.805,0.221,511.0,31.0,4.0,8.0,368.0,556.0,2.0,40.0,368.0,43.0,,,,TX-001907-001907110,48825.0
19,19,1908,WESTWOOD ISD,1908002.0,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Suburban,438,C,79,0.692,0.098,293.0,10.0,6.0,4.0,162.0,272.0,2.0,56.0,374.0,35.77,30.45847,-97.79775,,TX-001908-001908002,44741.0
20,20,1908,WESTWOOD ISD,1908002.0,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,438,C,79,0.692,0.098,293.0,10.0,6.0,4.0,162.0,272.0,2.0,56.0,374.0,35.77,31.73115,-95.68215,,TX-001908-001908002,44741.0
21,21,1908,WESTWOOD ISD,1908041.0,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,Urban,205,B,80,0.771,0.093,152.0,6.0,4.0,0.0,102.0,96.0,0.0,18.0,190.0,18.91,32.96193,-96.77698,126250.0,TX-001908-001908041,44741.0
22,22,1908,WESTWOOD ISD,1908041.0,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,Rural,205,B,80,0.771,0.093,152.0,6.0,4.0,0.0,102.0,96.0,0.0,18.0,190.0,18.91,31.73151,-95.68237,42949.0,TX-001908-001908041,44741.0
23,23,1908,WESTWOOD ISD,1908101.0,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,Suburban,408,F,52,0.74,0.071,292.0,10.0,6.0,6.0,168.0,226.0,0.0,28.0,382.0,25.63,29.52685,-95.21343,,TX-001908-001908101,44741.0
24,24,1908,WESTWOOD ISD,1908101.0,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,Urban,408,F,52,0.74,0.071,292.0,10.0,6.0,6.0,168.0,226.0,0.0,28.0,382.0,25.63,29.81029,-95.55403,,TX-001908-001908101,44741.0
25,25,1908,WESTWOOD ISD,1908101.0,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,Rural,408,F,52,0.74,0.071,292.0,10.0,6.0,6.0,168.0,226.0,0.0,28.0,382.0,25.63,31.7493,-95.6773,,TX-001908-001908101,44741.0
26,26,1908,WESTWOOD ISD,1908102.0,WESTWOOD PRI,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,Rural,363,F,52,0.799,0.041,276.0,14.0,4.0,0.0,164.0,168.0,0.0,42.0,348.0,25.71,31.73185,-95.68501,42949.0,TX-001908-001908102,44741.0
27,27,1909,SLOCUM ISD,1909001.0,SLOCUM H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,Rural,93,A,94,0.355,0.0,33.0,0.0,0.0,0.0,0.0,14.0,0.0,6.0,166.0,12.22,31.6299,-95.5303,61090.0,TX-001909-001909001,53637.0
28,28,1909,SLOCUM ISD,1909101.0,SLOCUM PK - 8,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,,256,B,82,0.57,0.02,140.0,6.0,0.0,4.0,0.0,34.0,0.0,16.0,458.0,25.42,,,,TX-001909-001909101,53637.0
29,29,2901,ANDREWS ISD,2901001.0,ANDREWS H S,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,No,,1161,A,90,0.395,0.089,430.0,29.0,14.0,8.0,16.0,1590.0,0.0,38.0,656.0,83.7,,,,TX-002901-002901001,62805.0
30,30,2901,ANDREWS ISD,2901002.0,ANDREWS EDUCATION CENTER,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,No,,50,A,91,0.68,0.14,34.0,0.0,2.0,0.0,2.0,78.0,0.0,0.0,18.0,5.0,,,,TX-002901-002901002,62805.0
31,31,2901,ANDREWS ISD,2901041.0,ANDREWS MIDDLE,REGION 18: MIDLAND,ANDREWS,Middle School,06 - 08,No,,920,B,80,0.495,0.138,417.0,38.0,4.0,4.0,8.0,1250.0,0.0,34.0,540.0,65.56,,,,TX-002901-002901041,62805.0
32,32,2901,ANDREWS ISD,2901101.0,DEVONIAN EL,REGION 18: MIDLAND,ANDREWS,Elementary,02 - 03,No,,635,C,71,0.526,0.191,308.0,26.0,2.0,8.0,4.0,900.0,0.0,18.0,338.0,42.17,,,,TX-002901-002901101,62805.0
33,33,2901,ANDREWS ISD,2901104.0,UNDERWOOD EL,REGION 18: MIDLAND,ANDREWS,Elementary,04 - 05,No,,648,D,62,0.526,0.171,305.0,36.0,4.0,8.0,4.0,910.0,0.0,22.0,348.0,40.16,,,,TX-002901-002901104,62805.0
34,34,2901,ANDREWS ISD,2901105.0,CLEARFORK EL,REGION 18: MIDLAND,ANDREWS,Elementary,EE - 01,No,Rural,771,C,71,0.581,0.25,416.0,36.0,4.0,12.0,2.0,1148.0,0.0,28.0,374.0,50.07,32.32114,-102.55121,87760.0,TX-002901-002901105,62805.0
35,35,3801,PINEYWOODS COMMUNITY ACADEMY,3801001.0,PINEYWOODS COMMUNITY ACADEMY H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,Yes,,257,A,93,0.529,0.035,118.0,18.0,0.0,2.0,86.0,138.0,0.0,16.0,272.0,20.24,,,,TX-003801-003801001,53037.0
36,36,3801,PINEYWOODS COMMUNITY ACADEMY,3801042.0,DR TERRY ROBBINS MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,Yes,,225,B,85,0.6,0.076,118.0,17.0,0.0,6.0,60.0,158.0,2.0,14.0,210.0,15.76,,,,TX-003801-003801042,53037.0
37,37,3801,PINEYWOODS COMMUNITY ACADEMY,3801103.0,SARAH STRINDEN EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,Yes,,514,D,64,0.66,0.07,298.0,41.0,4.0,14.0,144.0,366.0,10.0,40.0,452.0,32.01,,,,TX-003801-003801103,53037.0
38,38,3902,HUDSON ISD,3902001.0,HUDSON H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,Rural,797,B,89,0.478,0.053,319.0,62.0,2.0,18.0,92.0,488.0,2.0,46.0,946.0,61.25,31.3156,-94.8289,62000.0,TX-003902-003902001,54055.0
39,39,3902,HUDSON ISD,3902004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,8,Not Rated,.,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,8.0,5.0,31.33384,-94.75994,55608.0,TX-003902-003902004,54055.0
40,40,3902,HUDSON ISD,3902004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,8,Not Rated,.,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,8.0,5.0,31.33384,-94.75994,55608.0,TX-003902-003902004,54055.0
41,41,3902,HUDSON ISD,3902004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,8,Not Rated,.,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,8.0,5.0,31.33384,-94.75994,55608.0,TX-003902-003902004,54055.0
42,42,3902,HUDSON ISD,3902004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,8,Not Rated,.,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,8.0,5.0,31.2843,-94.7337,51514.0,TX-003902-003902004,54055.0
43,43,3902,HUDSON ISD,3902004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,8,Not Rated,.,0.0,0.0,,,0.0,0.0,8.0,0.0,0.0,0.0,8.0,5.0,31.33384,-94.75994,55608.0,TX-003902-003902004,54055.0
44,44,3902,HUDSON ISD,3902041.0,HUDSON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,,646,B,89,0.548,0.084,314.0,40.0,4.0,16.0,92.0,344.0,0.0,50.0,786.0,54.55,,,,TX-003902-003902041,54055.0
45,45,3902,HUDSON ISD,3902101.0,W F PEAVY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,,691,B,80,0.592,0.068,371.0,39.0,4.0,18.0,120.0,326.0,2.0,68.0,854.0,48.42,,,,TX-003902-003902101,54055.0
46,46,3902,HUDSON ISD,3902102.0,W H BONNER EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,,621,B,80,0.565,0.09,312.0,39.0,6.0,10.0,82.0,360.0,2.0,30.0,752.0,47.38,,,,TX-003902-003902102,54055.0
47,47,3903,LUFKIN ISD,3903001.0,LUFKIN H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,Rural,2134,B,87,0.848,0.153,1756.0,54.0,6.0,50.0,1164.0,1920.0,0.0,74.0,1056.0,180.76,31.33593,-94.6893,59266.0,TX-003903-003903001,52619.0
48,48,3903,LUFKIN ISD,3903004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,35,B,86,0.886,0.057,31.0,0.0,0.0,0.0,24.0,26.0,0.0,4.0,16.0,,31.33384,-94.75994,55608.0,TX-003903-003903004,52619.0
49,49,3903,LUFKIN ISD,3903004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,35,B,86,0.886,0.057,31.0,0.0,0.0,0.0,24.0,26.0,0.0,4.0,16.0,,31.33384,-94.75994,55608.0,TX-003903-003903004,52619.0
50,50,3903,LUFKIN ISD,3903004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,35,B,86,0.886,0.057,31.0,0.0,0.0,0.0,24.0,26.0,0.0,4.0,16.0,,31.33384,-94.75994,55608.0,TX-003903-003903004,52619.0
51,51,3903,LUFKIN ISD,3903004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,35,B,86,0.886,0.057,31.0,0.0,0.0,0.0,24.0,26.0,0.0,4.0,16.0,,31.2843,-94.7337,51514.0,TX-003903-003903004,52619.0
52,52,3903,LUFKIN ISD,3903004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,No,Rural,35,B,86,0.886,0.057,31.0,0.0,0.0,0.0,24.0,26.0,0.0,4.0,16.0,,31.33384,-94.75994,55608.0,TX-003903-003903004,52619.0
53,53,3903,LUFKIN ISD,3903044.0,LUFKIN MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,Rural,1487,C,79,0.893,0.25,1289.0,39.0,2.0,34.0,816.0,1334.0,8.0,68.0,712.0,120.92,31.32795,-94.71771,73285.0,TX-003903-003903044,52619.0
54,54,3903,LUFKIN ISD,3903120.0,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,243,B,86,0.897,0.136,209.0,9.0,0.0,6.0,174.0,182.0,4.0,20.0,100.0,20.64,30.3254,-95.44395,,TX-003903-003903120,52619.0
55,55,3903,LUFKIN ISD,3903120.0,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Urban,243,B,86,0.897,0.136,209.0,9.0,0.0,6.0,174.0,182.0,4.0,20.0,100.0,20.64,29.64909,-95.48834,,TX-003903-003903120,52619.0
56,56,3903,LUFKIN ISD,3903120.0,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,243,B,86,0.897,0.136,209.0,9.0,0.0,6.0,174.0,182.0,4.0,20.0,100.0,20.64,31.28587,-94.72365,,TX-003903-003903120,52619.0
57,57,3903,LUFKIN ISD,3903120.0,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,243,B,86,0.897,0.136,209.0,9.0,0.0,6.0,174.0,182.0,4.0,20.0,100.0,20.64,30.03724,-95.33466,,TX-003903-003903120,52619.0
58,58,3903,LUFKIN ISD,3903120.0,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,243,B,86,0.897,0.136,209.0,9.0,0.0,6.0,174.0,182.0,4.0,20.0,100.0,20.64,30.09921,-93.73805,,TX-003903-003903120,52619.0
59,59,3903,LUFKIN ISD,3903121.0,BRANDON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,394,B,82,0.706,0.069,274.0,4.0,0.0,12.0,250.0,170.0,0.0,34.0,322.0,28.96,31.35887,-94.73385,27438.0,TX-003903-003903121,52619.0
60,60,3903,LUFKIN ISD,3903122.0,BROOKHOLLOW EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,250,D,69,0.972,0.1,239.0,4.0,0.0,0.0,222.0,152.0,0.0,36.0,90.0,20.64,31.31701,-94.76774,,TX-003903-003903122,52619.0
61,61,3903,LUFKIN ISD,3903122.0,BROOKHOLLOW EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Suburban,250,D,69,0.972,0.1,239.0,4.0,0.0,0.0,222.0,152.0,0.0,36.0,90.0,20.64,30.45335,-97.6181,,TX-003903-003903122,52619.0
62,62,3903,LUFKIN ISD,3903123.0,COSTON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,Rural,204,D,69,0.971,0.25,196.0,2.0,0.0,0.0,106.0,178.0,2.0,18.0,104.0,18.98,31.34996,-94.71202,59266.0,TX-003903-003903123,52619.0
63,63,3903,LUFKIN ISD,3903124.0,DUNBAR PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,,383,B,82,0.789,0.07,293.0,9.0,0.0,18.0,298.0,162.0,0.0,30.0,258.0,26.0,,,,TX-003903-003903124,52619.0
64,64,3903,LUFKIN ISD,3903125.0,GARRETT PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,,349,B,81,1.0,0.269,343.0,6.0,0.0,2.0,284.0,316.0,0.0,30.0,66.0,20.0,,,,TX-003903-003903125,52619.0
65,65,3903,LUFKIN ISD,3903127.0,HERTY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,,262,D,69,0.931,0.191,234.0,10.0,0.0,4.0,136.0,242.0,0.0,24.0,118.0,24.0,,,,TX-003903-003903127,52619.0
66,66,3903,LUFKIN ISD,3903128.0,KURTH PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,,231,B,86,0.922,0.121,222.0,3.0,0.0,6.0,158.0,174.0,6.0,30.0,154.0,17.46,,,,TX-003903-003903128,52619.0
67,67,3903,LUFKIN ISD,3903129.0,SLACK EL,REGION 07: KILGORE,ANGELINA,Elementary,02 - 05,No,Rural,520,D,69,0.863,0.542,431.0,18.0,0.0,4.0,132.0,694.0,0.0,24.0,186.0,39.11,31.30695,-94.69586,73285.0,TX-003903-003903129,52619.0
68,68,3903,LUFKIN ISD,3903130.0,TROUT PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,,252,D,69,0.948,0.099,233.0,6.0,0.0,0.0,182.0,174.0,0.0,54.0,94.0,19.38,,,,TX-003903-003903130,52619.0
69,69,3903,LUFKIN ISD,3903131.0,BURLEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,,369,D,69,0.864,0.493,306.0,13.0,2.0,6.0,78.0,480.0,0.0,16.0,156.0,24.73,,,,TX-003903-003903131,52619.0
70,70,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Rural,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,31.87819,-100.29253,,TX-003903-003903201,52619.0
71,71,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Urban,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,33.21178,-97.11236,,TX-003903-003903201,52619.0
72,72,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Suburban,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,29.57244,-95.7488,,TX-003903-003903201,52619.0
73,73,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Urban,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,32.50166,-94.73374,,TX-003903-003903201,52619.0
74,74,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Rural,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,31.37278,-94.71792,,TX-003903-003903201,52619.0
75,75,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Urban,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,29.39439,-98.4914,,TX-003903-003903201,52619.0
76,76,3903,LUFKIN ISD,3903201.0,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,No,Suburban,6,Not Rated,.,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,6.0,1.0,28.83614,-96.92076,,TX-003903-003903201,52619.0
77,77,3904,HUNTINGTON ISD,3904001.0,HUNTINGTON H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,Rural,499,B,80,0.521,0.014,240.0,20.0,4.0,4.0,32.0,68.0,2.0,34.0,854.0,38.79,31.28554,-94.57241,50000.0,TX-003904-003904001,51034.0
78,78,3904,HUNTINGTON ISD,3904005.0,PRIDE ALTER SCH,REGION 07: KILGORE,ANGELINA,High School,11 - 12,No,Rural,13,Not Rated,.,0.615,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.96,31.28554,-94.57241,50000.0,TX-003904-003904005,51034.0
79,79,3904,HUNTINGTON ISD,3904041.0,HUNTINGTON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,Rural,371,B,83,0.539,0.019,180.0,20.0,2.0,0.0,26.0,60.0,0.0,26.0,628.0,30.73,31.28554,-94.57241,50000.0,TX-003904-003904041,51034.0
80,80,3904,HUNTINGTON ISD,3904101.0,HUNTINGTON EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 03,No,Rural,481,F,50,0.665,0.008,304.0,17.0,0.0,0.0,24.0,60.0,2.0,36.0,842.0,34.44,31.28554,-94.57241,50000.0,TX-003904-003904101,51034.0
81,81,3904,HUNTINGTON ISD,3904102.0,HUNTINGTON INT,REGION 07: KILGORE,ANGELINA,Elementary,04 - 05,No,Rural,228,D,66,0.667,0.009,137.0,15.0,2.0,0.0,18.0,38.0,0.0,10.0,388.0,17.88,31.28554,-94.57241,50000.0,TX-003904-003904102,51034.0
82,82,3905,DIBOLL ISD,3905001.0,DIBOLL H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,Rural,520,B,85,0.563,0.19,285.0,8.0,2.0,6.0,116.0,582.0,0.0,18.0,318.0,40.43,31.19534,-94.76461,67675.0,TX-003905-003905001,54453.0
83,83,3905,DIBOLL ISD,3905004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11 - 12,No,Rural,5,Not Rated,.,0.0,0.0,,,0.0,0.0,2.0,6.0,0.0,0.0,2.0,,31.33384,-94.75994,55608.0,TX-003905-003905004,54453.0
84,84,3905,DIBOLL ISD,3905004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11 - 12,No,Rural,5,Not Rated,.,0.0,0.0,,,0.0,0.0,2.0,6.0,0.0,0.0,2.0,,31.33384,-94.75994,55608.0,TX-003905-003905004,54453.0
85,85,3905,DIBOLL ISD,3905004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11 - 12,No,Rural,5,Not Rated,.,0.0,0.0,,,0.0,0.0,2.0,6.0,0.0,0.0,2.0,,31.33384,-94.75994,55608.0,TX-003905-003905004,54453.0
86,86,3905,DIBOLL ISD,3905004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11 - 12,No,Rural,5,Not Rated,.,0.0,0.0,,,0.0,0.0,2.0,6.0,0.0,0.0,2.0,,31.2843,-94.7337,51514.0,TX-003905-003905004,54453.0
87,87,3905,DIBOLL ISD,3905004.0,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11 - 12,No,Rural,5,Not Rated,.,0.0,0.0,,,0.0,0.0,2.0,6.0,0.0,0.0,2.0,,31.33384,-94.75994,55608.0,TX-003905-003905004,54453.0
88,88,3905,DIBOLL ISD,3905041.0,DIBOLL J H,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,Rural,349,B,83,0.711,0.152,245.0,3.0,0.0,4.0,88.0,370.0,0.0,14.0,222.0,34.19,31.18307,-94.78201,67675.0,TX-003905-003905041,54453.0
89,89,3905,DIBOLL ISD,3905101.0,H G TEMPLE EL,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,,314,C,73,0.739,0.131,221.0,11.0,0.0,2.0,80.0,320.0,0.0,22.0,204.0,27.68,,,,TX-003905-003905101,54453.0
